id_solicitante,inadimplente
20001,1
20002,0
20003,0
20004,0
20005,1
20006,1
20007,0
20008,0
20009,1
20010,1
20011,1
20012,1
20013,1
20014,0
20015,1
20016,0
20017,0
20018,1
20019,0
20020,0
20021,0
20022,1
20023,1
20024,1
20025,1
20026,1
20027,1
20028,1
20029,1
20030,1
20031,0
20032,1
20033,1
20034,0
20035,1
20036,1
20037,0
20038,1
20039,1
20040,1
20041,0
20042,1
20043,1
20044,0
20045,0
20046,0
20047,0
20048,1
20049,1
20050,0
20051,1
20052,0
20053,1
20054,0
20055,1
20056,1
20057,1
20058,0
20059,1
20060,0
20061,1
20062,0
20063,0
20064,1
20065,1
20066,1
20067,0
20068,0
20069,0
20070,1
20071,1
20072,0
20073,1
20074,0
20075,0
20076,1
20077,1
20078,1
20079,1
20080,0
20081,1
20082,1
20083,1
20084,0
20085,1
20086,0
20087,1
20088,1
20089,1
20090,1
20091,0
20092,0
20093,1
20094,0
20095,0
20096,0
20097,0
20098,1
20099,0
20100,1
20101,1
20102,0
20103,0
20104,1
20105,0
20106,1
20107,1
20108,1
20109,1
20110,0
20111,1
20112,1
20113,1
20114,0
20115,0
20116,1
20117,0
20118,1
20119,1
20120,1
20121,1
20122,0
20123,1
20124,1
20125,1
20126,0
20127,0
20128,0
20129,0
20130,1
20131,1
20132,0
20133,1
20134,0
20135,1
20136,1
20137,0
20138,0
20139,1
20140,1
20141,1
20142,1
20143,1
20144,1
20145,1
20146,0
20147,1
20148,1
20149,0
20150,0
20151,1
20152,1
20153,1
20154,1
20155,1
20156,1
20157,1
20158,0
20159,1
20160,0
20161,1
20162,1
20163,0
20164,0
20165,1
20166,1
20167,1
20168,1
20169,0
20170,1
20171,1
20172,1
20173,1
20174,0
20175,1
20176,0
20177,0
20178,0
20179,1
20180,1
20181,1
20182,0
20183,0
20184,1
20185,0
20186,1
20187,1
20188,1
20189,0
20190,1
20191,1
20192,0
20193,1
20194,0
20195,1
20196,0
20197,0
20198,0
20199,1
20200,1
20201,0
20202,0
20203,0
20204,0
20205,1
20206,0
20207,0
20208,0
20209,0
20210,1
20211,0
20212,1
20213,1
20214,0
20215,1
20216,0
20217,1
20218,1
20219,0
20220,1
20221,0
20222,1
20223,1
20224,0
20225,1
20226,1
20227,1
20228,1
20229,0
20230,0
20231,1
20232,1
20233,0
20234,1
20235,0
20236,1
20237,1
20238,0
20239,1
20240,0
20241,0
20242,1
20243,0
20244,0
20245,1
20246,0
20247,1
20248,1
20249,1
20250,0
20251,1
20252,1
20253,0
20254,1
20255,1
20256,0
20257,0
20258,0
20259,1
20260,1
20261,1
20262,1
20263,1
20264,0
20265,1
20266,1
20267,0
20268,0
20269,0
20270,0
20271,1
20272,0
20273,1
20274,0
20275,0
20276,1
20277,1
20278,1
20279,0
20280,1
20281,0
20282,1
20283,0
20284,1
20285,0
20286,0
20287,0
20288,0
20289,1
20290,1
20291,0
20292,0
20293,0
20294,0
20295,1
20296,1
20297,0
20298,1
20299,1
20300,1
20301,0
20302,1
20303,1
20304,0
20305,0
20306,1
20307,1
20308,1
20309,1
20310,0
20311,1
20312,0
20313,1
20314,1
20315,1
20316,1
20317,0
20318,0
20319,0
20320,0
20321,0
20322,1
20323,1
20324,1
20325,0
20326,1
20327,1
20328,1
20329,1
20330,0
20331,0
20332,1
20333,1
20334,1
20335,0
20336,0
20337,0
20338,1
20339,1
20340,1
20341,0
20342,0
20343,0
20344,0
20345,1
20346,1
20347,1
20348,0
20349,0
20350,1
20351,1
20352,0
20353,0
20354,1
20355,1
20356,1
20357,1
20358,0
20359,0
20360,1
20361,1
20362,1
20363,1
20364,0
20365,1
20366,1
20367,1
20368,0
20369,1
20370,1
20371,1
20372,0
20373,1
20374,0
20375,1
20376,1
20377,0
20378,1
20379,1
20380,1
20381,1
20382,1
20383,0
20384,1
20385,0
20386,1
20387,0
20388,0
20389,1
20390,1
20391,1
20392,1
20393,1
20394,1
20395,1
20396,1
20397,1
20398,1
20399,1
20400,0
20401,0
20402,1
20403,1
20404,0
20405,1
20406,1
20407,0
20408,1
20409,1
20410,1
20411,1
20412,0
20413,1
20414,0
20415,0
20416,0
20417,1
20418,1
20419,1
20420,0
20421,0
20422,0
20423,0
20424,0
20425,1
20426,0
20427,1
20428,1
20429,1
20430,0
20431,1
20432,1
20433,1
20434,1
20435,0
20436,1
20437,1
20438,1
20439,1
20440,0
20441,1
20442,1
20443,0
20444,0
20445,1
20446,0
20447,1
20448,1
20449,1
20450,1
20451,1
20452,0
20453,0
20454,0
20455,0
20456,1
20457,1
20458,0
20459,1
20460,1
20461,0
20462,0
20463,0
20464,1
20465,1
20466,0
20467,0
20468,0
20469,0
20470,1
20471,1
20472,0
20473,1
20474,1
20475,1
20476,1
20477,0
20478,1
20479,1
20480,0
20481,0
20482,1
20483,0
20484,1
20485,0
20486,1
20487,0
20488,1
20489,0
20490,1
20491,0
20492,1
20493,0
20494,1
20495,1
20496,1
20497,1
20498,0
20499,1
20500,1
20501,0
20502,1
20503,1
20504,0
20505,0
20506,1
20507,0
20508,1
20509,1
20510,0
20511,0
20512,0
20513,1
20514,1
20515,0
20516,1
20517,0
20518,0
20519,1
20520,1
20521,1
20522,0
20523,1
20524,1
20525,1
20526,1
20527,0
20528,0
20529,1
20530,1
20531,1
20532,1
20533,1
20534,1
20535,1
20536,1
20537,0
20538,1
20539,1
20540,1
20541,0
20542,1
20543,0
20544,1
20545,0
20546,1
20547,0
20548,0
20549,0
20550,1
20551,1
20552,0
20553,1
20554,1
20555,0
20556,1
20557,0
20558,1
20559,1
20560,0
20561,0
20562,1
20563,1
20564,1
20565,1
20566,1
20567,0
20568,1
20569,1
20570,1
20571,0
20572,0
20573,1
20574,1
20575,0
20576,1
20577,1
20578,1
20579,0
20580,0
20581,1
20582,0
20583,0
20584,0
20585,1
20586,1
20587,1
20588,0
20589,1
20590,0
20591,1
20592,1
20593,1
20594,0
20595,0
20596,0
20597,1
20598,1
20599,1
20600,0
20601,1
20602,1
20603,1
20604,1
20605,0
20606,0
20607,0
20608,1
20609,0
20610,0
20611,1
20612,1
20613,0
20614,1
20615,1
20616,1
20617,1
20618,0
20619,0
20620,1
20621,1
20622,1
20623,0
20624,1
20625,1
20626,1
20627,0
20628,0
20629,1
20630,0
20631,1
20632,1
20633,0
20634,0
20635,0
20636,1
20637,1
20638,1
20639,1
20640,0
20641,0
20642,1
20643,0
20644,1
20645,0
20646,1
20647,0
20648,0
20649,0
20650,1
20651,1
20652,0
20653,1
20654,1
20655,1
20656,0
20657,0
20658,1
20659,1
20660,0
20661,0
20662,1
20663,1
20664,0
20665,0
20666,1
20667,1
20668,1
20669,0
20670,1
20671,0
20672,0
20673,0
20674,0
20675,1
20676,1
20677,1
20678,1
20679,1
20680,0
20681,1
20682,1
20683,0
20684,1
20685,1
20686,0
20687,1
20688,0
20689,1
20690,0
20691,0
20692,1
20693,1
20694,0
20695,0
20696,1
20697,1
20698,1
20699,1
20700,0
20701,1
20702,0
20703,0
20704,0
20705,0
20706,0
20707,0
20708,0
20709,1
20710,0
20711,0
20712,0
20713,1
20714,1
20715,0
20716,0
20717,1
20718,1
20719,1
20720,0
20721,1
20722,1
20723,1
20724,1
20725,0
20726,0
20727,1
20728,1
20729,1
20730,1
20731,0
20732,1
20733,1
20734,1
20735,1
20736,1
20737,0
20738,0
20739,1
20740,0
20741,1
20742,1
20743,1
20744,1
20745,1
20746,1
20747,1
20748,1
20749,1
20750,1
20751,1
20752,0
20753,1
20754,0
20755,1
20756,1
20757,1
20758,0
20759,0
20760,0
20761,0
20762,0
20763,1
20764,1
20765,1
20766,1
20767,0
20768,1
20769,1
20770,1
20771,0
20772,1
20773,0
20774,1
20775,0
20776,1
20777,1
20778,0
20779,0
20780,0
20781,1
20782,0
20783,1
20784,1
20785,0
20786,1
20787,1
20788,0
20789,1
20790,0
20791,1
20792,1
20793,1
20794,1
20795,0
20796,1
20797,1
20798,1
20799,1
20800,1
20801,0
20802,1
20803,0
20804,0
20805,1
20806,0
20807,1
20808,1
20809,0
20810,0
20811,1
20812,0
20813,1
20814,0
20815,0
20816,0
20817,1
20818,1
20819,1
20820,1
20821,1
20822,1
20823,1
20824,1
20825,1
20826,0
20827,0
20828,1
20829,1
20830,0
20831,1
20832,0
20833,1
20834,1
20835,1
20836,1
20837,0
20838,1
20839,0
20840,1
20841,0
20842,1
20843,1
20844,0
20845,0
20846,1
20847,0
20848,0
20849,0
20850,1
20851,1
20852,0
20853,0
20854,0
20855,1
20856,1
20857,0
20858,1
20859,1
20860,0
20861,0
20862,0
20863,1
20864,1
20865,1
20866,1
20867,1
20868,1
20869,0
20870,1
20871,1
20872,1
20873,1
20874,1
20875,1
20876,0
20877,1
20878,1
20879,1
20880,1
20881,1
20882,0
20883,1
20884,0
20885,1
20886,0
20887,1
20888,1
20889,1
